Review ID,Username,Rating,Review Text,Date
cc1e7e79-2ae0-47fc-a35b-3fe385f04703,Pengguna Google,1,untuk pemesanan obat di kendari Sulawesi Tenggara masih banyak yang tidak tersedia. apotik rekanan halodocnya masih sedikit. di resepkan 5 obat oleh dokter yang tersedia cuman 1 obat,2025-07-06 12:15:21
610e01e3-6c81-4392-bce2-292ee92a3961,Pengguna Google,5,"sangat membantu, soalnya gak bisa kemana2 karna sakit dan untungnya ada halodoc yang bisa membantu dan kasih saran dan tahap2 untuk setiap pengobatan",2025-07-06 09:49:32
a5f6c35c-4ad9-4b46-8538-08b3b1227bba,Pengguna Google,5,Dokternya sangat membantu.,2025-07-06 07:36:56
d6370b46-76a8-4e61-adbd-987400285e0a,Pengguna Google,5,Sangat membantu jika ada kendala waktu dan tempat utk berkonsuktas dengan dokter secara tatap muka,2025-07-06 06:31:36
71461afe-1e4c-41c9-a116-0a6557eaa36b,Pengguna Google,5,ramah ramah dokternya❤️❤️,2025-07-06 01:59:36
2acc0939-6b75-46c6-8f2b-c6221ab2d14d,Pengguna Google,5,sangat membantu,2025-07-05 22:27:23
53aa8dfc-08ac-4988-881a-cae9c1170ef4,Pengguna Google,5,respon cepat,2025-07-05 22:14:21
821ddb4a-fb56-42b1-a4ed-ad2b32b31d38,Pengguna Google,1,"saya belum selesai konsultasi tapi sudah habis saja waktunya, jadi dokternya sedikit kesulitan untuk mendiagnosis sakit yg saya derita apa?. saran, Tolong untuk timer Waktunya, agak di perpanjang Lebih dari (30 menit) menurut saya untuk konsultasi tentang kejiwaan itu terlalu cepat🙏🏻(apalagi ini konsultasinya via online bukan langsung). karena problem dan kejadian yg di derita setiap pasien itu berbeda-beda. kadang ada pasien yg ketika di timer itu jadi Tidak fokus menjelaskan.sprti tergupuh",2025-07-05 21:40:09
185d7767-320d-47bd-8da5-f895a5d217a1,Pengguna Google,5,"Good, Responx cepat, memudahkan untuk konsul saat waktu terbatas",2025-07-05 21:15:49
9ec51558-2551-4287-94bb-13db4e3479e6,Pengguna Google,5,memuaskan semoga ada perubahan nanti di wajah,2025-07-05 20:31:59
ba4fd1ac-b8b4-4da3-8431-f83949adacd5,Pengguna Google,5,"suka sekali dgn hallo doc,dengan rebahan pun kita bisa konsultasi dokter specialist berpengalaman dengan trade record dokter yg komplit jd kita bsa tau,dokter spti apa yg kita butuhkan.👍👍",2025-07-05 20:13:04
ae73389d-b050-477c-be2c-8729287cce56,Pengguna Google,1,"konsul dr. sp. N, sudah bayar, chat panjang lebar tapi ga dibalas.. kecewa",2025-07-05 18:19:58
372702a2-2f02-4e7d-b1a0-08359524520a,Pengguna Google,4,mantwap,2025-07-05 17:48:16
7c869b52-0d52-47d9-b406-1fbe248529cc,Pengguna Google,5,"cepat sigap, semoga lekas sembuh semua",2025-07-05 15:21:22
310ad54a-3726-4708-91b2-b28c5e378ca1,Pengguna Google,5,"sangat"" buagus",2025-07-05 13:08:02
abd8c4ce-3eb1-4dfd-8e4a-513a94c4ced1,Pengguna Google,5,baikk,2025-07-05 10:43:12
0f349f39-1397-4d99-9fbc-3238405668ce,Pengguna Google,5,sangat membantu terimkasih halo doc,2025-07-05 10:27:00
b97522c4-eb6b-4377-92f5-1cf3d3324c75,Pengguna Google,5,mantap pelayanannya,2025-07-05 10:24:15
a073017f-ced9-489a-9213-9ea819e8a964,Pengguna Google,5,servis luar biasa baguss,2025-07-05 08:42:26
4a0c32a8-088c-47b2-8402-2baa0b94de73,Pengguna Google,5,sangat membantu dan cepat,2025-07-05 06:15:30
4e6f7e9c-1e39-4d01-8de2-5360ead6f8ba,Pengguna Google,1,"bikin 2 order. 1. obat dikirim ke next day, padahal pakai instan. 2. obat ada, tp gak dapet driver. hedeh...",2025-07-04 22:59:44
30692148-4f5f-4307-952b-811d7d700787,Pengguna Google,5,Sangat membantu tanpa repot harus ke RS.,2025-07-04 21:55:14
239f6ae8-3d74-42f6-afb3-6b52a4f69a60,Pengguna Google,5,memudahkan pasien untuk berobat,2025-07-04 17:22:12
3c404a76-7892-477a-96e6-6f48f8427e31,Pengguna Google,5,baik dan bagus cuman jarang ada promo,2025-07-04 16:26:50
5c83e9f6-e9a7-44cf-a811-b6041e7ca8b3,Pengguna Google,5,sangat membantu,2025-07-04 15:14:42
5ef3e4b1-ca14-4fb6-9a87-dabf6c26a62f,Pengguna Google,5,sangat membatu,2025-07-04 15:05:45
06f98637-8f61-44bb-9b5e-56edcb5f7cec,Pengguna Google,5,bantu banget heheh,2025-07-04 14:45:37
ed851bc0-d9f7-4cf1-92ec-eacbfbce2c62,Pengguna Google,5,bikin nyaman saat konsul dengan dokter,2025-07-04 13:48:20
0cf0835b-ae56-47a7-ad9a-64949a49ae8c,Pengguna Google,5,keren cepat bermanfaat gaws macet2 ke rs klo hanya untuk sakit ringan,2025-07-04 11:08:15
e5472c37-dd11-4fce-951c-29c0ad3caf11,Pengguna Google,5,bagus,2025-07-04 10:56:27
3743317e-3237-4612-bbf4-915368414c30,Pengguna Google,5,memudahkan saat sakit,2025-07-04 10:10:52
72d5228e-a54c-403f-ab8b-d1906f97165b,Pengguna Google,5,ok mantap,2025-07-04 09:34:56
8de89856-d01e-4e22-97d8-4d1ef122730c,Pengguna Google,5,memuaskan,2025-07-04 08:17:37
97996737-d82b-4718-8d72-e323e1678434,Pengguna Google,5,"ternyata bisa dapat resep obat, tinggal beli di apotik. mantapp",2025-07-04 05:38:53
